,Product_Title,Original Price,Discounted Price,Additional_Tags,Ratings,Gender,Category,Formulation
81,MOUNTAINOR Multivitamins with Probiotics For Healthy Life - ...,699,299,Rising Products,5,Unisex,Energy-boosters,Capsule
82,HealthKart HK Vitals Multivitamin Gummies - Orange,729,599,Rising Products,2,Unisex,Energy-boosters,Others
83,"TrueBasics Multivit Daily And Omega 3 Fish Oil, Triple Stren...",1798,1349,Rising Products,5,Unisex,Energy-boosters,Capsule
84,Blackmores - Glucosogreen 1500 Vanilla Flavored Tablets,2599,1689,Rising Products,5,Unisex,Energy-boosters,Tablet
85,GNC Mega Men Sport Multivitamin,2399,1399,Rising Products,5,Male,Energy-boosters,Others
86,Boldfit Multivitamin For Women,699,699,Rising Products,4,Female,Energy-boosters,Others
87,Health Veda Organics Thyrocare Supplements,999,519,Rising Products,5,Unisex,Energy-boosters,Capsule
88,Health Veda Organics Whole Food Multivitamin Tablets For Ene...,899,458,Rising Products,5,Unisex,Energy-boosters,Capsule
89,Pure Nutrition Multivitamin For Women For Energy and Immunit...,899,611,Rising Products,4,Unisex,Energy-boosters,Powder
90,SheNeed Prenatal Vitamins Provides Nutrients Needed During P...,400,240,Rising Products,5,Female,Energy-boosters,Tablet
91,"Nutribears Multivitamin Gummies For Kids And Teens, Supports...",495,396,Rising Products,3,Unisex,Energy-boosters,Capsule
92,Wellman 50+ UK's No.1 Multivitamin For Men Above 50 (Pack Of...,900,585,Rising Products,5,Male,Energy-boosters,Tablet
93,Nyumi Iron+ Gummies with Vitamin B12 and Folic Acid To Reduc...,998,848,Rising Products,5,Unisex,Energy-boosters,Capsule
94,Zingavita Multivitamin Tablets For Women 50+,799,349,Rising Products,4,Female,Energy-boosters,Tablet
95,Wellman 70+ UK's No.1 Multivitamin for Men above 70 (Pumpkin...,474,332,Rising Products,4,Male,Energy-boosters,Tablet
96,Wellman Health Supplements UK's No.1 Multivitamin For Men (P...,1314,788,Rising Products,5,Male,Energy-boosters,Tablet
99,Health Veda Organics Plant Based Korean Red Ginseng Capsules...,699,363,Rising Products,5,Unisex,Energy-boosters,Capsule
102,"MuscleBlaze Mb Vite Multivitamin, Unflavored",999,699,Rising Products,4,Unisex,Energy-boosters,Tablet
103,Online Quality Store Chia Seeds,140,133,Rising Products,5,Unisex,Energy-boosters,Others
